url,name,user_id,host_name,price,address,star_rating,review_count,person_capacity,host_other_property_review_count,min_nights,profile_path,businessTravelReadyRequiredAmenitiesTags,extra_people,cleaning_fee,accuracy,communication,cleanliness,location,checkin,cost_performance,review_score
"""https://www.airbnb.jp/rooms/4569369?guests=1""","""Ginza, Petite plus Elegance""",10223734,"""Jun""",7835,"""Chuo, 東京, 日本""",5,115,2,177,2,"""/users/show/10223734""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥5301""",10,10,10,10,10,9,95
"""https://www.airbnb.jp/rooms/6294127?guests=1""","""Tatami room in traditional Tokyo""",32725461,"""Joseph""",5979,"""Taitō-ku, Tōkyō-to, 日本""",5,25,2,0,3,"""/users/show/32725461""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥-1""",10,10,9,10,10,10,97
"""https://www.airbnb.jp/rooms/13643653?guests=1""","""Shinjuku(good access) &amp; Free Wifi!""",76677624,"""Take""",3505,"""杉並区, 東京都, 日本""",5,6,2,7,3,"""/users/show/76677624""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥2000""",9,10,10,10,10,9,97
"""https://www.airbnb.jp/rooms/8365154?guests=1""","""Tokyo guesthouse 305-A""",43091863,"""Sato""",2783,"""Koto, 東京, 日本""",4.5,39,1,1013,3,"""/users/show/43091863""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥-1""",9,9,8,9,9,9,90
"""https://www.airbnb.jp/rooms/12639220?guests=1""","""40sq.m. Tokyo Creater's apt. @JR. SHIBUYA""",17190440,"""Samurai Japan""",6804,"""Shibuya-ku, Tōkyō-to, 日本""",5,22,4,122,2,"""/users/show/17190440""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥2268 / 泊 (1名を超えると1名様増毎に加算)""","""￥5464""",10,10,10,10,10,9,95
"""https://www.airbnb.jp/rooms/4151260?guests=1""","""FREE Pocket WIFI! SHINJUKU 5MIN! 2""",14906609,"""Jay""",8763,"""新宿, 東京, 日本""",5,125,3,885,2,"""/users/show/14906609""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥1031 / 泊 (1名を超えると1名様増毎に加算)""","""￥1546""",10,10,10,9,10,10,97
"""https://www.airbnb.jp/rooms/10483746?guests=1""","""Modern 2 Story condo near Shinjuku""",2703512,"""Yann""",8763,"""Bunkyō-ku, Tōkyō-to, 日本""",5,17,4,0,1,"""/users/show/2703512""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥2062 / 泊 (2名を超えると1名様増毎に加算)""","""￥5670""",10,9,10,9,10,10,96
"""https://www.airbnb.jp/rooms/13533175?guests=1""","""东京温馨公寓民宿房间A(无额外费用)""",77417173,"""雨""",5051,"""Kita-ku, Tōkyō-to, 日本""",5,3,2,10,1,"""/users/show/77417173""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥-1""",10,10,10,10,10,10,100
"""https://www.airbnb.jp/rooms/7266737?guests=1""","""The Best Value Private Apt!!""",29907653,"""Atsuo""",8144,"""Meguro-ku, Tōkyō-to, 日本""",5,40,2,0,3,"""/users/show/29907653""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥1959""",10,10,10,9,10,10,97
"""https://www.airbnb.jp/rooms/9208865?guests=1""","""2 min walking to Midtown,Roppogi st""",44080870,"""Dada""",8247,"""Minato-ku, Tōkyō-to, 日本""",5,63,2,37,1,"""/users/show/44080870""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥2500""",10,10,10,10,10,10,96
"""https://www.airbnb.jp/rooms/4145512?guests=1""","""Shibuya TIMES SQUARE supa central""",21351511,"""John""",5979,"""渋谷, 東京, 日本""",5,7,2,13,12,"""/users/show/21351511""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""無料""","""￥-1""",10,10,9,10,10,10,97
"""https://www.airbnb.jp/rooms/10886692?guests=1""","""Quiet Residential Home - Meguro -""",55220487,"""Maison""",12474,"""Shinagawa-ku, Tōkyō-to, 日本""",-1,2,4,0,1,"""/users/show/55220487""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥5001 / 泊 (2名を超えると1名様増毎に加算)""","""￥3000""",10,10,10,10,10,10,100
"""https://www.airbnb.jp/rooms/14378627?guests=1""","""8/8 just Opened! 5min Walk Nishi-Shinjuku Sta!""",86992240,"""J""",7010,"""Shinjuku-ku, Tōkyō-to, 日本""",5,3,7,4,2,"""/users/show/86992240""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""￥1250 / 泊 (3名を超えると1名様増毎に加算)""","""￥5001""",10,10,10,9,10,10,100
"""https://www.airbnb.jp/rooms/9757456?guests=1""","""Bright shinjuku wifi shibuya tokyo""",43904565,"""Taku""",7010,"""Tokyo-to, Shinjuku-ku, 日本""",4.5,19,2,126,2,"""/users/show/43904565""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥3301""",9,9,8,10,9,9,87
"""https://www.airbnb.jp/rooms/4016139?guests=1""","""大久保駅徒歩4分☆最高の眺め""",9479934,"""Mourad""",9072,"""新宿, 東京, 日本""",5,111,2,0,2,"""/users/show/9479934""","""['essentials', 'shampoo', 'wireless_internet', '24hr-checkin', 'hangers', 'iron', 'hair-dryer', 'laptop-friendly', 'smoke_detector', 'carbon_monoxide_detector']""","""none""","""￥3949""",10,10,9,9,10,9,95
